Time	Amp	Volt	AH	Temp_1	
1	0	1.85	0	32.5	
11	12.5	1.93	0	32.5	
21	12.5	1.94	0	32.5	
31	12.5	1.96	0.1	32.5	
41	12.5	1.98	0.1	32.5	
51	12.5	1.99	0.1	32.5	
61	12.5	2.01	0.2	32.5	
71	12.5	2.02	0.2	32.5	
81	12.5	2.03	0.2	32.5	
91	12.5	2.03	0.3	32.5	
101	12.5	2.03	0.3	32.5	
111	12.5	2.03	0.3	32.5	
121	12.5	2.03	0.4	32.5	
131	12.5	2.04	0.4	32.5	
141	12.5	2.04	0.4	32.5	
151	12.5	2.04	0.5	32.5	
161	12.5	2.04	0.5	32.5	
171	12.5	2.05	0.5	32.5	
181	12.5	2.05	0.6	32.5	
191	12.5	2.06	0.6	32.5	
201	12.5	2.06	0.6	32.5	
211	12.5	2.06	0.7	32.5	
216.2	12.5	2.07	0.7	32.5	
217.2	0	1.98	0.7	32.5	
218.2	0	1.98	0.7	32.5	
219.2	0	1.98	0.7	32.5	
220.2	0	1.97	0.7	32.5	
221.2	0	1.97	0.7	32.5	
222.2	0	1.97	0.7	32.5	
223.2	0	1.97	0.7	32.5	
224.2	0	1.97	0.7	32.5	
225.2	0	1.97	0.7	32.5	
226.2	0	1.97	0.7	32.5	
227.2	0	1.97	0.7	32.5	
228.2	0	1.97	0.7	32.5	
229.2	0	1.96	0.7	32.5	
230.2	0	1.96	0.7	32.5	
231.2	0	1.97	0.7	32.5	
232.2	0	1.96	0.7	32.5	
233.2	0	1.96	0.7	32.5	
234.2	0	1.96	0.7	32	
235.2	0	1.96	0.7	32.5	
236.2	0	1.96	0.7	32.5	
237.2	0	1.96	0.7	32.5	
238.2	0	1.96	0.7	32.5	
239.2	0	1.96	0.7	32.5	
240.2	0	1.96	0.7	32.5	
241.2	0	1.96	0.7	32.5	
242.2	0	1.96	0.7	32.5	
243.2	0	1.96	0.7	32.5	
244.2	0	1.96	0.7	32.5	
245.2	0	1.96	0.7	32.5	
246.2	0	1.96	0.7	32.5	
247.2	0	1.96	0.7	32.5	
248.2	0	1.96	0.7	32.5	
249.2	0	1.95	0.7	32.5	
250.2	0	1.95	0.7	32.5	
251.2	0	1.95	0.7	32.5	
252.2	0	1.96	0.7	32.5	
253.2	0	1.95	0.7	32.5	
254.2	0	1.95	0.7	32.5	
255.2	0	1.95	0.7	32.5	
256.2	0	1.95	0.7	32.5	
257.2	0	1.95	0.7	32.5	
258.2	0	1.95	0.7	32.5	
259.2	0	1.95	0.7	32.5	
260.2	0	1.95	0.7	32.5	
261.2	0	1.95	0.7	32.5	
262.2	0	1.95	0.7	32.5	
263.2	0	1.95	0.7	32.5	
264.2	0	1.95	0.7	32.5	
265.2	0	1.95	0.7	32.5	
266.2	0	1.95	0.7	32.5	
267.2	0	1.95	0.7	32.5	
268.2	0	1.95	0.7	32.5	
269.2	0	1.95	0.7	32.5	
270.2	0	1.95	0.7	32.5	
271.2	0	1.95	0.7	32.5	
272.2	0	1.95	0.7	32.5	
273.2	0	1.95	0.7	32.5	
274.2	0	1.95	0.7	32.5	
275.2	0	1.95	0.7	32.5	
276.2	0	1.95	0.7	32.5	
277.2	0	1.95	0.7	32.5	
278.2	0	1.95	0.7	32.5	
279.2	0	1.95	0.7	32.5	
280.2	0	1.95	0.7	32.5	
281.2	0	1.95	0.7	32.5	
282.2	0	1.95	0.7	32.5	
283.2	0	1.95	0.7	32.5	
284.2	0	1.95	0.7	32.5	
285.2	0	1.94	0.7	32.5	
286.2	0	1.94	0.7	32.5	
287.2	0	1.95	0.7	32.5	
288.2	0	1.95	0.7	32.5	
289.2	0	1.94	0.7	32.5	
290.2	0	1.94	0.7	32.5	
291.2	0	1.94	0.7	32.5	
292.2	0	1.95	0.7	32.5	
293.2	0	1.95	0.7	32.5	
294.2	0	1.95	0.7	32.5	
295.2	0	1.94	0.7	32.5	
296.2	0	1.94	0.7	32.5	
297.2	0	1.94	0.7	32.5	
298.2	0	1.94	0.7	32.5	
299.2	0	1.94	0.7	32.5	
300.2	0	1.94	0.7	32.5	
301.2	0	1.94	0.7	32.5	
302.2	0	1.94	0.7	32.5	
303.2	0	1.94	0.7	32.5	
304.2	0	1.94	0.7	32.5	
305.2	0	1.94	0.7	32.5	
306.2	0	1.94	0.7	32.5	
307.2	0	1.94	0.7	32.5	
308.2	0	1.94	0.7	32.5	
309.2	0	1.94	0.7	32.5	
310.2	0	1.94	0.7	32.5	
311.2	0	1.94	0.7	32.5	
312.2	0	1.94	0.7	32.5	
313.2	0	1.94	0.7	32.5	
314.2	0	1.94	0.7	32.5	
315.2	0	1.94	0.7	32.5	
316.2	0	1.94	0.7	32.5	
317.2	0	1.94	0.7	32.5	
318.2	0	1.94	0.7	32.5	
319.2	0	1.94	0.7	32.5	
320.2	0	1.94	0.7	32.5	
321.2	0	1.94	0.7	32.5	
322.2	0	1.94	0.7	32.5	
323.2	0	1.94	0.7	32.5	
324.2	0	1.94	0.7	32.5	
325.2	0	1.94	0.7	32.5	
326.2	0	1.94	0.7	32.5	
327.2	0	1.94	0.7	32.5	
328.2	0	1.94	0.7	32.5	
329.2	0	1.94	0.7	32.5	
330.2	0	1.94	0.7	32.5	
331.2	0	1.94	0.7	32.5	
332.2	0	1.94	0.7	32.5	
333.2	0	1.94	0.7	32.5	
334.2	0	1.94	0.7	32.5	
335.2	0	1.94	0.7	32.5	
336.2	0	1.94	0.7	32.5	
337.2	0	1.94	0.7	32.5	
338.2	0	1.94	0.7	32.5	
339.2	0	1.94	0.7	32.5	
340.2	0	1.94	0.7	32.5	
341.2	0	1.94	0.7	32.5	
342.2	0	1.94	0.7	32.5	
343.2	0	1.94	0.7	32.5	
344.2	0	1.94	0.7	32.5	
345.2	0	1.94	0.7	32.5	
346.2	0	1.94	0.7	32.5	
347.2	0	1.94	0.7	32.5	
348.2	0	1.94	0.7	32.5	
349.2	0	1.94	0.7	32.5	
350.2	0	1.94	0.7	32.5	
351.2	0	1.94	0.7	32.5	
352.2	0	1.94	0.7	32.5	
353.2	0	1.93	0.7	32.5	
354.2	0	1.94	0.7	32.5	
355.2	0	1.93	0.7	32.5	
356.2	0	1.94	0.7	32.5	
357.2	0	1.94	0.7	32.5	
358.2	0	1.94	0.7	32.5	
359.2	0	1.94	0.7	32.5	
360.2	0	1.94	0.7	32.5	
361.2	0	1.94	0.7	32.5	
362.2	0	1.94	0.7	32.5	
363.2	0	1.94	0.7	32.5	
364.2	0	1.94	0.7	32.5	
365.2	0	1.93	0.7	32.5	
366.2	0	1.94	0.7	32.5	
367.2	0	1.93	0.7	32.5	
368.2	0	1.94	0.7	32.5	
369.2	0	1.93	0.7	32.5	
370.2	0	1.93	0.7	32.5	
371.2	0	1.93	0.7	32.5	
372.2	0	1.93	0.7	32.5	
373.2	0	1.93	0.7	32.5	
374.2	0	1.93	0.7	32.5	
375.2	0	1.93	0.7	32.5	
376.2	0	1.93	0.7	32.5	
377.2	0	1.93	0.7	32.5	
378.2	0	1.93	0.7	32.5	
379.2	0	1.93	0.7	32.5	
380.2	0	1.93	0.7	32.5	
381.2	0	1.93	0.7	32.5	
382.2	0	1.93	0.7	32.5	
383.2	0	1.93	0.7	32.5	
384.2	0	1.93	0.7	32.5	
385.2	0	1.93	0.7	32.5	
386.2	0	1.93	0.7	32.5	
387.2	0	1.93	0.7	32	
388.2	0	1.93	0.7	32.5	
389.2	0	1.93	0.7	32.5	
390.2	0	1.93	0.7	32.5	
391.2	0	1.93	0.7	32.5	
392.2	0	1.93	0.7	32.5	
393.2	0	1.93	0.7	32.5	
394.2	0	1.93	0.7	32.5	
395.2	0	1.93	0.7	32.5	
396.2	0	1.93	0.7	32.5	
397.2	0	1.94	0.7	32.5	
398.2	0	1.93	0.7	32.5	
399.2	0	1.93	0.7	32.5	
400.2	0	1.93	0.7	32.5	
401.2	0	1.93	0.7	32.5	
402.2	0	1.93	0.7	32.5	
403.2	0	1.93	0.7	32.5	
404.2	0	1.93	0.7	32.5	
405.2	0	1.93	0.7	32.5	
406.2	0	1.93	0.7	32.5	
407.2	0	1.93	0.7	32.5	
408.2	0	1.93	0.7	32.5	
409.2	0	1.93	0.7	32.5	
410.2	0	1.93	0.7	32.5	
411.2	0	1.93	0.7	32.5	
412.2	0	1.93	0.7	32.5	
413.2	0	1.93	0.7	32.5	
414.2	0	1.93	0.7	32.5	
415.2	0	1.93	0.7	32.5	
416.2	0	1.93	0.7	32.5	
417.2	0	1.93	0.7	32.5	
418.2	0	1.93	0.7	32.5	
419.2	0	1.93	0.7	32.5	
420.2	0	1.93	0.7	32.5	
421.2	0	1.93	0.7	32.5	
422.2	0	1.93	0.7	32.5	
423.2	0	1.93	0.7	32.5	
424.2	0	1.93	0.7	32.5	
425.2	0	1.93	0.7	32.5	
426.2	0	1.93	0.7	32.5	
427.2	0	1.93	0.7	32.5	
428.2	0	1.93	0.7	32.5	
429.2	0	1.93	0.7	32.5	
430.2	0	1.93	0.7	32.5	
431.2	0	1.93	0.7	32.5	
432.2	0	1.93	0.7	32.5	
433.2	0	1.93	0.7	32.5	
434.2	0	1.93	0.7	32.5	
435.2	0	1.93	0.7	32.5	
436.2	0	1.93	0.7	32.5	
437.2	0	1.93	0.7	32.5	
438.2	0	1.93	0.7	32.5	
439.2	0	1.93	0.7	32.5	
440.2	0	1.93	0.7	32.5	
441.2	0	1.93	0.7	32.5	
442.2	0	1.93	0.7	32.5	
443.2	0	1.93	0.7	32.5	
444.2	0	1.93	0.7	32.5	
445.2	0	1.93	0.7	32.5	
446.2	0	1.93	0.7	32.5	
447.2	0	1.93	0.7	32.5	
448.2	0	1.93	0.7	32.5	
449.2	0	1.93	0.7	32.5	
450.2	0	1.93	0.7	32.5	
451.2	0	1.93	0.7	32.5	
452.2	0	1.93	0.7	32.5	
453.2	0	1.93	0.7	32.5	
454.2	0	1.93	0.7	32.5	
455.2	0	1.93	0.7	32.5	
456.2	0	1.93	0.7	32.5	
457.2	0	1.93	0.7	32.5	
458.2	0	1.93	0.7	32.5	
459.2	0	1.93	0.7	32.5	
460.2	0	1.93	0.7	32.5	
461.2	0	1.93	0.7	32.5	
462.2	0	1.93	0.7	32.5	
463.2	0	1.93	0.7	32.5	
464.2	0	1.93	0.7	32.5	
465.2	0	1.93	0.7	32.5	
466.2	0	1.93	0.7	32.5	
467.2	0	1.93	0.7	32.5	
468.2	0	1.93	0.7	32.5	
469.2	0	1.93	0.7	32.5	
470.2	0	1.93	0.7	32.5	
471.2	0	1.93	0.7	32.5	
472.2	0	1.92	0.7	32.5	
473.2	0	1.93	0.7	32.5	
474.2	0	1.93	0.7	32.5	
475.2	0	1.92	0.7	32.5	
476.2	0	1.93	0.7	32.5	
477.2	0	1.93	0.7	32.5	
478.2	0	1.93	0.7	32.5	
479.2	0	1.93	0.7	32.5	
480.2	0	1.93	0.7	32.5	
481.2	0	1.93	0.7	32.5	
482.2	0	1.93	0.7	32.5	
483.2	0	1.93	0.7	32.5	
484.2	0	1.92	0.7	32.5	
485.2	0	1.93	0.7	32.5	
486.2	0	1.93	0.7	32.5	
487.2	0	1.93	0.7	32.5	
488.2	0	1.93	0.7	32.5	
489.2	0	1.92	0.7	32.5	
490.2	0	1.93	0.7	32.5	
491.2	0	1.92	0.7	32.5	
492.2	0	1.92	0.7	32.5	
493.2	0	1.93	0.7	32.5	
494.2	0	1.93	0.7	32.5	
495.2	0	1.92	0.7	32.5	
496.2	0	1.93	0.7	32.5	
497.2	0	1.93	0.7	32.5	
498.2	0	1.92	0.7	32.5	
499.2	0	1.93	0.7	32.5	
500.2	0	1.93	0.7	32.5	
501.2	0	1.92	0.7	32.5	
502.2	0	1.92	0.7	32.5	
503.2	0	1.93	0.7	32.5	
504.2	0	1.92	0.7	32.5	
505.2	0	1.93	0.7	32.5	
506.2	0	1.92	0.7	32.5	
507.2	0	1.93	0.7	32.5	
508.2	0	1.93	0.7	32.5	
509.2	0	1.92	0.7	32.5	
510.2	0	1.92	0.7	32.5	
511.2	0	1.93	0.7	32.5	
512.2	0	1.92	0.7	32.5	
513.2	0	1.92	0.7	32.5	
514.2	0	1.93	0.7	32.5	
515.2	0	1.93	0.7	32.5	
516.2	0	1.92	0.7	32.5	
517.2	12.5	1.98	0.7	32.5	
518.2	12.5	1.98	0.7	32.5	
519.2	12.5	1.99	0.7	32.5	
520.2	12.5	1.99	0.7	32.5	
521.2	12.5	1.99	0.7	32.5	
522.2	12.5	2	0.7	32.5	
523.2	12.5	2	0.7	32	
524.2	12.5	2	0.7	32.5	
525.2	12.5	2	0.7	32.5	
526.2	12.5	2.01	0.7	32.5	
527.2	12.5	2.01	0.7	32.5	
528.2	12.5	2.01	0.7	32.5	
529.2	12.5	2.01	0.7	32.5	
530.2	12.5	2.02	0.7	32.5	
531.2	12.5	2.02	0.7	32.5	
532.2	12.4	2.02	0.8	32.5	
533.2	11.8	2.02	0.8	32.5	
534.2	11.1	2.02	0.8	32.5	
535.2	11.1	2.02	0.8	32.5	
536.2	10.9	2.02	0.8	32.5	
537.2	10.7	2.02	0.8	32.5	
538.2	10	2.02	0.8	32	
539.2	9.7	2.02	0.8	32.5	
540.2	9.6	2.02	0.8	32.5	
541.2	9.6	2.02	0.8	32.5	
542.2	9.5	2.02	0.8	32.5	
543.2	9.5	2.02	0.8	32.5	
544.2	9.4	2.02	0.8	32.5	
545.2	9	2.02	0.8	32.5	
546.2	8.6	2.02	0.8	32.5	
547.2	8.5	2.02	0.8	32.5	
548.2	8.2	2.02	0.8	32.5	
549.2	8.1	2.02	0.8	32.5	
550.2	8.1	2.02	0.8	32.5	
551.2	8	2.02	0.8	32.5	
552.2	8	2.02	0.8	32.5	
553.2	8	2.02	0.8	32.5	
554.2	8	2.02	0.8	32.5	
555.2	7.9	2.02	0.8	32.5	
556.2	7.9	2.02	0.8	32.5	
557.2	7.9	2.02	0.8	32.5	
558.2	7.9	2.02	0.8	32.5	
559.2	8	2.02	0.8	32.5	
560.2	7.9	2.02	0.8	32.5	
561.2	7.8	2.02	0.8	32.5	
562.2	7.9	2.02	0.8	32.5	
563.2	7.9	2.02	0.8	32.5	
564.2	7.9	2.02	0.8	32.5	
565.2	7.8	2.02	0.8	32.5	
566.2	7.9	2.02	0.8	32.5	
567.2	7.7	2.02	0.8	32.5	
568.2	7.6	2.02	0.8	32.5	
569.2	7.9	2.02	0.8	32.5	
570.2	7.6	2.02	0.8	32.5	
571.2	7.8	2.02	0.8	32.5	
572.2	7.6	2.02	0.8	32.5	
573.2	7.5	2.02	0.9	32.5	
574.2	7.5	2.02	0.9	32.5	
575.2	7.2	2.02	0.9	32.5	
576.2	7.2	2.02	0.9	32.5	
577.2	7.4	2.02	0.9	32.5	
578.2	7.3	2.02	0.9	32.5	
579.2	7.1	2.03	0.9	32.5	
580.2	7.4	2.02	0.9	32.5	
581.2	7.2	2.02	0.9	32.5	
582.2	7	2.02	0.9	32.5	
583.2	7.1	2.02	0.9	32.5	
584.2	7	2.02	0.9	32.5	
585.2	7.1	2.02	0.9	32.5	
586.2	6.9	2.02	0.9	32.5	
587.2	7	2.02	0.9	32.5	
588.2	7	2.02	0.9	32.5	
589.2	7.1	2.02	0.9	32.5	
590.2	6.9	2.02	0.9	32.5	
591.2	7	2.02	0.9	32.5	
592.2	6.9	2.02	0.9	32.5	
593.2	7	2.02	0.9	32.5	
594.2	6.9	2.02	0.9	32.5	
595.2	7	2.02	0.9	32.5	
596.2	6.9	2.02	0.9	32.5	
597.2	7.1	2.02	0.9	32.5	
598.2	6.6	2.02	0.9	32.5	
599.2	6.7	2.02	0.9	32.5	
600.2	6.5	2.02	0.9	32.5	
601.2	6.6	2.02	0.9	32.5	
602.2	6.6	2.02	0.9	32.5	
603.2	6.9	2.02	0.9	32.5	
604.2	6.8	2.02	0.9	32.5	
605.2	6.5	2.02	0.9	32.5	
606.2	6.5	2.02	0.9	32.5	
607.2	6.5	2.02	0.9	32.5	
608.2	6.4	2.02	0.9	32.5	
609.2	6.6	2.02	0.9	32.5	
610.2	6.5	2.02	0.9	32.5	
611.2	6.4	2.02	0.9	32.5	
612.2	6.6	2.02	0.9	32.5	
613.2	6.5	2.02	0.9	32.5	
614.2	6.5	2.02	0.9	32.5	
615.2	6.5	2.02	0.9	32.5	
616.2	6.4	2.02	0.9	32.5	
617.2	6.5	2.02	0.9	32.5	
618.2	6.7	2.02	0.9	32.5	
619.2	6.7	2.02	0.9	32.5	
620.2	6.3	2.02	0.9	32.5	
621.2	6.4	2.02	0.9	32.5	
622.2	6.4	2.02	0.9	32.5	
623.2	6.4	2.02	0.9	32.5	
624.2	6.4	2.02	0.9	32.5	
625.2	6.4	2.02	0.9	32.5	
626.2	6.4	2.02	1	32.5	
627.2	6.4	2.02	1	32.5	
628.2	6.4	2.02	1	32.5	
629.2	6.4	2.02	1	32.5	
630.2	6.4	2.02	1	32.5	
631.2	6.3	2.02	1	32.5	
632.2	6.4	2.02	1	32.5	
633.2	6.3	2.02	1	32.5	
634.2	6.4	2.02	1	32.5	
635.2	6.4	2.02	1	32.5	
636.2	6.4	2.02	1	32.5	
637.2	6.4	2.02	1	32.5	
638.2	6.4	2.02	1	32.5	
639.2	6.3	2.02	1	32	
640.2	6.4	2.02	1	32.5	
641.2	6.3	2.02	1	32	
642.2	6.4	2.02	1	32.5	
643.2	6.4	2.02	1	32.5	
644.2	6.4	2.02	1	32.5	
645.2	6.3	2.02	1	32.5	
646.2	6.3	2.02	1	32.5	
647.2	6.3	2.02	1	32.5	
648.2	6.3	2.02	1	32.5	
649.2	6.3	2.02	1	32.5	
650.2	6.3	2.02	1	32.5	
651.2	6.3	2.02	1	32.5	
652.2	6.3	2.02	1	32.5	
653.2	6.3	2.02	1	32	
654.2	6.3	2.02	1	32.5	
655.2	6.3	2.02	1	32.5	
656.2	6.3	2.02	1	32.5	
657.2	6.3	2.02	1	32.5	
658.2	6.3	2.02	1	32.5	
659.2	6.3	2.02	1	32.5	
660.2	6.3	2.02	1	32.5	
661.2	6.3	2.02	1	32.5	
662.2	6.3	2.02	1	32	
663.2	6.3	2.02	1	32.5	
664.2	6.3	2.02	1	32	
665.2	6.3	2.02	1	32.5	
666.2	6.3	2.02	1	32.5	
667.2	6.3	2.02	1	32.5	
668.2	6.2	2.02	1	32	
669.2	6.1	2.02	1	32.5	
670.2	6.3	2.02	1	32.5	
671.2	6.1	2.02	1	32.5	
671.5	5.5	2.02	1	32.5	
701.5	0	1.96	1	32.5	
731.5	0	1.95	1	32.5	
761.5	0	1.95	1	32.5	
791.5	0	1.95	1	32.5	
821.5	0	1.94	1	32.5	
851.5	0	1.94	1	32.5	
881.5	0	1.94	1	32.5	
911.5	0	1.93	1	32.5	
941.5	0	1.93	1	32.5	
971.5	0	1.94	1	32.5	
1001.5	0	1.93	1	32.5	
1031.5	0	1.93	1	32.5	
1061.5	0	1.93	1	32.5	
1091.5	0	1.93	1	32.5	
1121.5	0	1.93	1	32.5	
1151.5	0	1.93	1	32.5	
1181.5	0	1.93	1	32.5	
1211.5	0	1.92	1	32.5	
1241.5	0	1.93	1	32.5	
1271.5	0	1.93	1	32.5	
1301.5	0	1.92	1	32.5	
1331.5	0	1.92	1	32.5	
1361.5	0	1.92	1	32.5	
1391.5	0	1.92	1	32.5	
1421.5	0	1.92	1	32.5	
1451.5	0	1.92	1	32.5	
1481.5	0	1.92	1	32.5	
1511.5	0	1.92	1	32.5	
1541.5	0	1.92	1	32.5	
1571.5	0	1.92	1	32.5	
1601.5	0	1.92	1	32.5	
1631.5	0	1.92	1	32.5	
1661.5	0	1.92	1	32.5	
1691.5	0	1.91	1	32.5	
1721.5	0	1.92	1	32.5	
1751.5	0	1.92	1	32.5	
1781.5	0	1.92	1	32.5	
1811.5	0	1.92	1	32.5	
1841.5	0	1.92	1	32.5	
1871.5	0	1.91	1	32.5	
1901.5	0	1.91	1	32.5	
1931.5	0	1.92	1	32.5	
1961.5	0	1.91	1	32.5	
1991.5	0	1.91	1	32.5	
2021.5	0	1.91	1	32	
2051.5	0	1.91	1	32.5	
2081.5	0	1.91	1	32.5	
2111.5	0	1.91	1	32.5	
2141.5	0	1.91	1	32.5	
2171.5	0	1.91	1	32.5	
2201.5	0	1.91	1	32.5	
2231.5	0	1.91	1	32.5	
2261.5	0	1.91	1	32.5	
2291.5	0	1.91	1	32.5	
2321.5	0	1.91	1	32.5	
2351.5	0	1.91	1	32.5	
2381.5	0	1.91	1	32.5	
2411.5	0	1.91	1	32.5	
2441.5	0	1.91	1	32.5	
2471.5	0	1.91	1	32.5	
2501.5	0	1.91	1	32.5	
2531.5	0	1.91	1	32.5	
2561.5	0	1.91	1	32.5	
2591.5	0	1.91	1	32.5	
2621.5	0	1.91	1	32	
2651.5	0	1.91	1	32.5	
2681.5	0	1.91	1	32.5	
2711.5	0	1.91	1	32.5	
2741.5	0	1.91	1	32.5	
2771.5	0	1.9	1	32.5	
2801.5	0	1.91	1	32.5	
2831.5	0	1.91	1	32.5	
2861.5	0	1.91	1	32.5	
2891.5	0	1.9	1	32.5	
2921.5	0	1.9	1	32.5	
2951.5	0	1.9	1	32.5	
2981.5	0	1.9	1	32.5	
3011.5	0	1.9	1	32.5	
3041.5	0	1.9	1	32.5	
3071.5	0	1.9	1	32	
3101.5	0	1.91	1	32.5	
3131.5	0	1.9	1	32.5	
3161.5	0	1.9	1	32.5	
3191.5	0	1.9	1	32.5	
3221.5	0	1.9	1	32.5	
3251.5	0	1.9	1	32.5	
3281.5	0	1.9	1	32.5	
3311.5	0	1.9	1	32.5	
3341.5	0	1.9	1	32.5	
3371.5	0	1.9	1	32.5	
3401.5	0	1.9	1	32.5	
3431.5	0	1.9	1	32.5	
3461.5	0	1.9	1	32.5	
3491.5	0	1.9	1	32.5	
3521.5	0	1.9	1	32.5	
3551.5	0	1.9	1	32.5	
3581.5	0	1.9	1	32.5	
3611.5	0	1.9	1	32.5	
3641.5	0	1.9	1	32.5	
3671.5	0	1.9	1	32.5	
3701.5	0	1.9	1	32.5	
3731.5	0	1.9	1	32.5	
3761.5	0	1.9	1	32.5	
3791.5	0	1.9	1	32	
3821.5	0	1.9	1	32.5	
3851.5	0	1.9	1	32.5	
3881.5	0	1.9	1	32.5	
3911.5	0	1.9	1	32.5	
3941.5	0	1.9	1	32.5	
3971.5	0	1.9	1	32.5	
4001.5	0	1.9	1	32.5	
4031.5	0	1.9	1	32.5	
4061.5	0	1.9	1	32.5	
4091.5	0	1.9	1	32.5	
4121.5	0	1.9	1	32.5	
4151.5	0	1.9	1	32.5	
4181.5	0	1.9	1	32.5	
4211.5	0	1.9	0	32.5	
4241.5	0	1.9	0	32	
4271.5	0	1.9	0	32.5	
4281.5	-7.3	1.86	0	32	
4291.5	-7.3	1.85	0	32.5	
4301.5	-7.3	1.84	0	32.5	
4311.5	-7.3	1.84	-0.1	32.5	
4321.5	-7.3	1.84	-0.1	32.5	
4331.5	-7.3	1.83	-0.1	32.5	
4341.5	-7.3	1.83	-0.1	32.5	
4351.5	-7.3	1.83	-0.1	32.5	
4361.5	-7.3	1.82	-0.2	32.5	
4371.5	-7.3	1.83	-0.2	32.5	
4381.5	-7.3	1.82	-0.2	32.5	
4391.5	-7.3	1.82	-0.2	32.5	
4401.5	-7.3	1.82	-0.2	32.5	
4411.5	-7.3	1.81	-0.3	32.5	
4421.5	-7.3	1.81	-0.3	32.5	
4431.5	-7.3	1.81	-0.3	32.5	
4441.5	-7.3	1.81	-0.3	32	
4451.5	-7.3	1.81	-0.3	32.5	
4461.5	-7.3	1.8	-0.4	32.5	
4471.5	-7.3	1.8	-0.4	32.5	
4481.5	-7.3	1.8	-0.4	32.5	
4491.5	-7.3	1.8	-0.4	32.5	
4501.5	-7.3	1.8	-0.4	32	
4511.5	-7.3	1.8	-0.5	32.5	
4521.5	-7.3	1.79	-0.5	32.5	
4531.5	-7.3	1.79	-0.5	32.5	
4541.5	-7.3	1.79	-0.5	32.5	
4551.5	-7.3	1.79	-0.5	32.5	
4561.5	-7.3	1.79	-0.6	32.5	
4571.5	-7.3	1.79	-0.6	32.5	
4581.5	-7.3	1.79	-0.6	32.5	
4591.5	-7.3	1.78	-0.6	32.5	
4601.5	-7.3	1.78	-0.6	32.5	
4611.5	-7.3	1.79	-0.7	32.5	
4621.5	-7.3	1.78	-0.7	32.5	
4631.5	-7.3	1.78	-0.7	32.5	
4641.5	-7.3	1.78	-0.7	32.5	
4651.5	-7.3	1.78	-0.7	32.5	
4661.5	-7.3	1.78	-0.8	32.5	
4671.5	-7.3	1.78	-0.8	32.5	
4681.5	-7.3	1.77	-0.8	32.5	
4691.5	-7.3	1.77	-0.8	32.5	
4701.5	-7.3	1.77	-0.8	32.5	
4711.5	-7.3	1.77	-0.9	32.5	
4721.5	-7.3	1.77	-0.9	32.5	
4731.5	-7.3	1.77	-0.9	32.5	
4741.5	-7.3	1.77	-0.9	32.5	
4751.5	-7.3	1.77	-0.9	32.5	
4761.5	-7.3	1.77	-1	32.5	
4771.5	-7.3	1.76	-1	32.5	
4781.5	-7.3	1.77	-1	32.5	
4791.5	-7.3	1.76	-1	32.5	
4801.5	-7.3	1.76	-1	32.5	
4811.5	-7.3	1.76	-1	32.5	
4821.5	-7.3	1.76	-1	32.5	
4831.5	-7.3	1.76	-1	32.5	
4841.5	-7.3	1.76	-1	32.5	
4851.5	-7.3	1.76	-1	32.5	
4861.5	-7.3	1.76	-1.1	32.5	
4871.5	-7.3	1.76	-1.1	32.5	
4881.5	-7.3	1.76	-1.1	33	
4891.5	-7.3	1.76	-1.1	32.5	
4901.5	-7.3	1.75	-1.1	32.5	
4911.5	-7.3	1.75	-1.2	32.5	
4921.5	-7.3	1.75	-1.2	32.5	
4931.5	-7.3	1.75	-1.2	33	
4941.5	-7.3	1.75	-1.2	32.5	
4951.5	-7.3	1.75	-1.2	32.5	
4961.5	-7.3	1.75	-1.3	32.5	
4971.5	-7.3	1.75	-1.3	32.5	
4981.5	-7.3	1.74	-1.3	32.5	
4991.5	-7.3	1.75	-1.3	33	
5001.5	-7.3	1.74	-1.3	33	
5011.5	-7.3	1.74	-1.4	33	
5021.5	-7.3	1.74	-1.4	32.5	
5031.5	-7.3	1.74	-1.4	32.5	
5041.5	-7.3	1.74	-1.4	33	
5051.5	-7.3	1.74	-1.5	32.5	
5061.5	-7.3	1.74	-1.5	32.5	
5071.5	-7.3	1.74	-1.5	32.5	
5081.5	-7.3	1.74	-1.5	32.5	
5091.5	-7.3	1.74	-1.5	32.5	
5101.5	-7.3	1.74	-1.6	33	
5111.5	-7.3	1.74	-1.6	33	
5121.5	-7.3	1.74	-1.6	32.5	
5131.5	-7.3	1.74	-1.6	32.5	
5141.5	-7.3	1.74	-1.6	33	
5151.5	-7.3	1.74	-1.7	33	
5161.5	-7.3	1.74	-1.7	32.5	
5171.5	-7.3	1.74	-1.7	33	
5181.5	-7.3	1.73	-1.7	32.5	
5191.5	-7.3	1.73	-1.7	33	
5201.5	-7.3	1.73	-1.8	33	
5211.5	-7.3	1.73	-1.8	33	
5221.5	-7.3	1.73	-1.8	33	
5231.5	-7.3	1.73	-1.8	33	
5241.5	-7.3	1.73	-1.8	33	
5251.5	-7.3	1.73	-1.9	33	
5261.5	-7.3	1.73	-1.9	33	
5271.5	-7.3	1.73	-1.9	33	
5281.5	-7.3	1.72	-1.9	33	
5291.5	-7.3	1.73	-1.9	33	
5301.5	-7.3	1.72	-2	33	
5307.1	-7.3	1.73	-2	33	
5317.1	0	1.76	-2	32.5	
5327.1	0	1.77	-2	33	
5337.1	0	1.77	-2	33	
5347.1	0	1.77	-2	33	
5357.1	0	1.77	-2	33	
5367.1	0	1.77	-2	33	
5377.1	0	1.77	-2	33	
5387.1	0	1.78	-2	33	
5397.1	0	1.77	-2	33	
5407.1	0	1.78	-2	33	
